Date,DayOfWeek,symbol,direction,entry_time,Hour,entry_price,exit_price,exit_reason,Exit_Type,pnl,Loss_Category
2024-11-14,Thursday,BHARTIARTL-EQ,SHORT,2024-11-14 13:20:00+05:30,13,1538.1,1541.2,Stop Loss,EOD Close,-1196.600000000053,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 13:35:00+05:30,13,1645.0,1643.8,Stop Loss,EOD Close,-1190.400000000045,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 14:10:00+05:30,14,1638.35,1638.0,Stop Loss,EOD Close,-1189.9999999996908,Large (>1150)
2024-11-22,Friday,KOTAKBANK-EQ,LONG,2024-11-22 14:25:00+05:30,14,1767.5,1766.15,Stop Loss,EOD Close,-1186.64999999992,Large (>1150)
2024-11-18,Monday,BHARTIARTL-EQ,SHORT,2024-11-18 15:00:00+05:30,15,1532.95,1535.3,Stop Loss,EOD Close,-1184.3999999999542,Large (>1150)
2024-11-27,Wednesday,BHARTIARTL-EQ,LONG,2024-11-27 13:50:00+05:30,13,1580.6,1580.35,Stop Loss,EOD Close,-1180.25,Large (>1150)
2024-11-27,Wednesday,BHARTIARTL-EQ,LONG,2024-11-27 12:35:00+05:30,12,1578.9,1575.4,Stop Loss,EOD Close,-1179.5,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 13:45:00+05:30,13,1647.7,1645.25,Stop Loss,EOD Close,-1178.450000000022,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 14:20:00+05:30,14,1631.65,1631.0,Stop Loss,EOD Close,-1177.8000000001648,Large (>1150)
2024-11-13,Wednesday,KOTAKBANK-EQ,SHORT,2024-11-13 13:05:00+05:30,13,1705.85,1708.9,Stop Loss,EOD Close,-1177.3000000000702,Large (>1150)
2024-11-22,Friday,KOTAKBANK-EQ,LONG,2024-11-22 14:40:00+05:30,14,1766.6,1765.9,Stop Loss,EOD Close,-1175.2999999996946,Large (>1150)
2024-11-22,Friday,BHARTIARTL-EQ,LONG,2024-11-22 13:20:00+05:30,13,1557.5,1557.3,Stop Loss,EOD Close,-1173.6000000002668,Large (>1150)
2024-11-27,Wednesday,BHARTIARTL-EQ,LONG,2024-11-27 13:15:00+05:30,13,1579.45,1577.25,Stop Loss,EOD Close,-1168.200000000024,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 12:10:00+05:30,12,1624.75,1623.85,Stop Loss,EOD Close,-1167.300000000118,Large (>1150)
2024-11-22,Friday,BHARTIARTL-EQ,LONG,2024-11-22 14:00:00+05:30,14,1563.95,1562.25,Stop Loss,EOD Close,-1161.100000000031,Large (>1150)
2024-11-12,Tuesday,BHARTIARTL-EQ,SHORT,2024-11-12 14:30:00+05:30,14,1562.5,1565.9,Stop Loss,EOD Close,-1159.400000000031,Large (>1150)
2024-11-29,Friday,BHARTIARTL-EQ,LONG,2024-11-29 12:35:00+05:30,12,1634.85,1633.3,Stop Loss,EOD Close,-1154.749999999966,Large (>1150)
2024-11-12,Tuesday,HINDUNILVR-EQ,SHORT,2024-11-12 14:05:00+05:30,14,2459.95,2461.05,Stop Loss,EOD Close,-1146.200000000379,Medium (1000-1150)
2024-11-29,Friday,ICICIBANK-EQ,LONG,2024-11-29 14:20:00+05:30,14,1302.0,1299.9,Stop Loss,EOD Close,-1136.0999999999508,Medium (1000-1150)
2024-11-12,Tuesday,HINDUNILVR-EQ,SHORT,2024-11-12 14:40:00+05:30,14,2463.35,2463.85,Stop Loss,EOD Close,-1134.5,Medium (1000-1150)
2024-11-14,Thursday,HINDUNILVR-EQ,SHORT,2024-11-14 13:10:00+05:30,13,2389.55,2392.75,Stop Loss,EOD Close,-1132.7999999999356,Medium (1000-1150)
2024-11-14,Thursday,HINDUNILVR-EQ,SHORT,2024-11-14 13:45:00+05:30,13,2396.0,2398.9,Stop Loss,EOD Close,-1131.0000000000357,Medium (1000-1150)
2024-11-13,Wednesday,HINDUNILVR-EQ,SHORT,2024-11-13 13:35:00+05:30,13,2457.85,2460.0,Stop Loss,EOD Close,-1122.3000000000477,Medium (1000-1150)
2024-11-14,Thursday,HINDUNILVR-EQ,SHORT,2024-11-14 13:55:00+05:30,13,2398.05,2401.75,Stop Loss,EOD Close,-1121.0999999999449,Medium (1000-1150)
2024-11-14,Thursday,HINDUNILVR-EQ,SHORT,2024-11-14 13:20:00+05:30,13,2394.6,2400.0,Stop Loss,EOD Close,-1117.8000000000188,Medium (1000-1150)
2024-11-12,Tuesday,ICICIBANK-EQ,SHORT,2024-11-12 13:40:00+05:30,13,1269.25,1270.0,Stop Loss,EOD Close,-1083.0,Medium (1000-1150)
2024-11-28,Thursday,INFY-EQ,SHORT,2024-11-28 14:15:00+05:30,14,1856.55,1858.9,Stop Loss,EOD Close,-1078.6500000000626,Medium (1000-1150)
2024-11-12,Tuesday,HDFCBANK-EQ,SHORT,2024-11-12 13:20:00+05:30,13,860.98,861.25,Stop Loss,EOD Close,-1034.9099999999305,Medium (1000-1150)
2024-11-21,Thursday,TCS-EQ,SHORT,2024-11-21 13:40:00+05:30,13,4031.6,4034.4,Stop Loss,EOD Close,-1033.2000000000671,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 13:15:00+05:30,13,851.48,851.8,Stop Loss,EOD Close,-1031.999999999795,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 14:50:00+05:30,14,843.8,843.95,Stop Loss,EOD Close,-1031.5500000006257,Medium (1000-1150)
2024-11-19,Tuesday,HDFCBANK-EQ,LONG,2024-11-19 13:35:00+05:30,13,874.55,874.1,Stop Loss,EOD Close,-1030.9499999998438,Medium (1000-1150)
2024-11-12,Tuesday,HDFCBANK-EQ,SHORT,2024-11-12 13:30:00+05:30,13,860.2,861.45,Stop Loss,EOD Close,-1023.75,Medium (1000-1150)
2024-11-22,Friday,TCS-EQ,LONG,2024-11-22 14:25:00+05:30,14,4217.15,4213.75,Stop Loss,EOD Close,-1023.3999999998904,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 12:30:00+05:30,12,853.33,853.63,Stop Loss,EOD Close,-1022.0999999998452,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 13:25:00+05:30,13,851.43,852.25,Stop Loss,EOD Close,-1021.7200000000624,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 15:00:00+05:30,15,837.1,841.25,Stop Loss,EOD Close,-1020.8999999999944,Medium (1000-1150)
2024-11-19,Tuesday,HDFCBANK-EQ,LONG,2024-11-19 13:55:00+05:30,13,872.85,872.83,Stop Loss,EOD Close,-1020.6799999990716,Medium (1000-1150)
2024-11-12,Tuesday,HDFCBANK-EQ,SHORT,2024-11-12 13:50:00+05:30,13,861.05,861.38,Stop Loss,EOD Close,-1014.4200000001258,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 13:40:00+05:30,13,852.35,852.5,Stop Loss,EOD Close,-1011.5999999998468,Medium (1000-1150)
2024-11-18,Monday,HDFCBANK-EQ,SHORT,2024-11-18 15:05:00+05:30,15,852.18,853.0,Stop Loss,EOD Close,-1011.0600000000616,Medium (1000-1150)
2024-11-19,Tuesday,HDFCBANK-EQ,LONG,2024-11-19 14:15:00+05:30,14,872.7,871.05,Stop Loss,EOD Close,-1009.8000000000555,Medium (1000-1150)
2024-11-12,Tuesday,HDFCBANK-EQ,SHORT,2024-11-12 14:00:00+05:30,14,860.88,861.35,Stop Loss,EOD Close,-1004.3900000000584,Medium (1000-1150)
2024-11-13,Wednesday,HDFCBANK-EQ,SHORT,2024-11-13 13:50:00+05:30,13,853.88,854.4,Stop Loss,EOD Close,-1001.519999999965,Medium (1000-1150)
2024-11-19,Tuesday,HDFCBANK-EQ,LONG,2024-11-19 12:30:00+05:30,12,872.83,872.08,Stop Loss,EOD Close,-1000.5,Medium (1000-1150)
2024-11-13,Wednesday,RELIANCE-EQ,SHORT,2024-11-13 15:00:00+05:30,15,1250.0,1251.9,Stop Loss,EOD Close,-999.4000000000478,Small (500-1000)
2024-11-19,Tuesday,HDFCBANK-EQ,LONG,2024-11-19 15:00:00+05:30,15,871.68,870.98,End of Day,EOD Close,-188.9999999999816,Tiny (<500)
2024-11-13,Wednesday,KOTAKBANK-EQ,SHORT,2024-11-13 14:40:00+05:30,14,1687.15,1688.0,End of Day,EOD Close,-147.0499999999843,Tiny (<500)
2024-11-21,Thursday,HINDUNILVR-EQ,SHORT,2024-11-21 12:50:00+05:30,12,2383.8,2384.65,End of Day,EOD Close,-131.7499999999859,Tiny (<500)
2024-11-12,Tuesday,ICICIBANK-EQ,SHORT,2024-11-12 15:05:00+05:30,15,1269.05,1269.65,End of Day,EOD Close,-122.40000000002784,Tiny (<500)
2024-11-11,Monday,HINDUNILVR-EQ,SHORT,2024-11-11 13:45:00+05:30,13,2491.2,2492.05,End of Day,EOD Close,-107.9500000000462,Tiny (<500)
2024-11-12,Tuesday,HINDUNILVR-EQ,SHORT,2024-11-12 15:00:00+05:30,15,2460.55,2461.0,End of Day,EOD Close,-98.99999999995998,Tiny (<500)
2024-11-27,Wednesday,BHARTIARTL-EQ,LONG,2024-11-27 14:15:00+05:30,14,1577.7,1577.3,End of Day,EOD Close,-90.40000000002055,Tiny (<500)
2024-11-13,Wednesday,ICICIBANK-EQ,SHORT,2024-11-13 15:00:00+05:30,15,1252.3,1252.45,End of Day,EOD Close,-63.15000000003829,Tiny (<500)
